character,unicode,custom_code,original_code,glyph_slot,metric_donor_index,mapping_status,source
늘,U+B298,0xa073,0x93d8,2199,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
능,U+B2A5,0xa074,0x939b,2198,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
니,U+B2C8,0xa075,0x92d0,2197,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
다,U+B2E4,0xa076,0x9281,2196,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
단,U+B2E8,0xa077,0x91f1,2195,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
달,U+B2EC,0xa078,0x91ad,2194,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
당,U+B2F9,0xa079,0x9169,2193,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
대,U+B300,0xa07a,0x9165,2192,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
더,U+B354,0xa07b,0x907e,2191,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
덮,U+B36E,0xa07c,0x8ff9,2190,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
데,U+B370,0xa07d,0x8fdf,2189,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
도,U+B3C4,0xa07e,0x8f98,2188,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
독,U+B3C5,0xa080,0x8f8d,2187,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
돌,U+B3CC,0xa081,0x8f48,2186,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
동,U+B3D9,0xa082,0x8f44,2185,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
되,U+B418,0xa083,0x8ef9,2184,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
됨,U+B428,0xa084,0x8ef5,2183,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
됩,U+B429,0xa085,0x8edf,2182,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
두,U+B450,0xa086,0x8ea5,2181,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
뒤,U+B4A4,0xa087,0x8e89,2180,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
드,U+B4DC,0xa088,0x8d54,2179,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
득,U+B4DD,0xa089,0x8cac,2178,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
들,U+B4E4,0xa08a,0x8c86,2177,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
듭,U+B4ED,0xa08b,0x8bcf,2176,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
디,U+B514,0xa08c,0x8bb2,2175,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
따,U+B530,0xa08d,0x8144,2174,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
땅,U+B545,0xa08e,0x8195,2173,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
때,U+B54C,0xa08f,0x83b5,2172,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
떠,U+B5A0,0xa090,0x83b0,2171,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
또,U+B610,0xa091,0x83ac,2170,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
뛰,U+B6F0,0xa092,0x83ae,2169,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
뛸,U+B6F8,0xa093,0x83a6,2168,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
뜁,U+B701,0xa094,0x83a9,2167,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
라,U+B77C,0xa095,0x83a0,2166,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
락,U+B77D,0xa096,0x83b3,2165,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
란,U+B780,0xa097,0x83b6,2164,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
람,U+B78C,0xa098,0x83a1,2163,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
래,U+B798,0xa099,0x839f,2162,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
량,U+B7C9,0xa09a,0x979a,2161,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
러,U+B7EC,0xa09b,0xe7f3,2160,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
런,U+B7F0,0xa09c,0x8c71,2159,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
럼,U+B7FC,0xa09d,0x9743,2158,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
레,U+B808,0xa09e,0x8d8c,2154,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
려,U+B824,0xa09f,0x99e1,2153,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
력,U+B825,0xa0a0,0x8c97,2152,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
련,U+B828,0xa0a1,0x92e3,2151,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
령,U+B839,0xa0a2,0x815c,2149,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
례,U+B840,0xa0a3,0x81a2,2145,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
로,U+B85C,0xa0a4,0x81a0,2144,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
록,U+B85D,0xa0a5,0x8194,2143,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
롯,U+B86F,0xa0a6,0x8e56,2142,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
료,U+B8CC,0xa0a7,0x9298,2141,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
룡,U+B8E1,0xa0a8,0x9ae2,2140,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
루,U+B8E8,0xa0a9,0x8b58,2138,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
류,U+B958,0xa0aa,0x83a2,2136,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
륙,U+B959,0xa0ab,0x81ab,2135,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
르,U+B974,0xa0ac,0x8d56,2134,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
른,U+B978,0xa0ad,0x8a85,2133,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
를,U+B97C,0xa0ae,0x9382,2132,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
릅,U+B985,0xa0af,0x974f,2131,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
리,U+B9AC,0xa0b0,0x984d,2130,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
릭,U+B9AD,0xa0b1,0x898b,2129,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
릴,U+B9B4,0xa0b2,0x83bf,2128,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
마,U+B9C8,0xa0b3,0x898d,2127,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
만,U+B9CC,0xa0b4,0x8e7d,2125,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
말,U+B9D0,0xa0b5,0x91a0,2124,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
맞,U+B9DE,0xa0b6,0x9657,2123,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
매,U+B9E4,0xa0b7,0x8c6a,2122,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
맵,U+B9F5,0xa0b8,0x8dca,2121,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
맷,U+B9F7,0xa0b9,0x97ee,2120,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
메,U+BA54,0xa0ba,0xe5da,2118,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
멘,U+BA58,0xa0bb,0x8cd1,2117,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
멜,U+BA5C,0xa0bc,0x8a8c,2116,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
며,U+BA70,0xa0bd,0x92e5,2114,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
면,U+BA74,0xa0be,0x97f5,2113,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
명,U+BA85,0xa0bf,0xe446,2112,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
모,U+BAA8,0xa0c0,0x935a,2111,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
